Video ID,Song Title,Album Title,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5
Rbgw_rduQpM,I Really Want to Stay at Your House,"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",Rosa Walton,Hallie Coggins,,,
g1cc2dFDXVc,I Saw Your Face,I Saw Your Face,Malcolm Todd,,,,
38ICl7_UvEI,I Think I Like When It Rains,Locals 2,WILLIS,,,,
nyuo9-OjNNg,I Wanna Be Yours,AM,Arctic Monkeys,,,,
8r3FaCiVFbA,I Want To Break Free (Single Remix),The Works (Deluxe Edition 2011 Remaster),Queen,,,,
9oPgHKWriVI,I'd Rather Pretend,VANITY,Bryant Barnes,,,,
bHM4HUQkwUs,I'll Believe In Anything,Apologies To The Queen Mary,Wolf Parade,,,,
oUv0NbjbGzQ,I'm Gonna Be (500 Miles),Sunshine on Leith,The Proclaimers,,,,
A93OQy81TYs,I'm Yours,I'm Yours,Jason Mraz,,,,
157XuWmvd80,If It Only Gets Better,Piss In The Wind,Joji,,,,
RTeOgfz3iTA,If It Only Gets Better,If It Only Gets Better,Joji,,,,
Ustmr9yrdfc,In Two,In Two,Will Paquin,,,,
Hozurw81jY8,innocence,innocence,MidnightSoul79,,,,
Dy_eP-mqWow,Iris,Dizzy up the Girl,Goo Goo Dolls,,,,
S_wSxrf5Jns,Is This Really Love?,WITHERED,d4vd,,,,
OZ0xDKyjD6c,It's Been a Long Long Time,Harry James:Hi-Fi Sessions,Harry James,,,,
D-WGPdDApzg,Izhaar,Izhaar,Tanmaya Bhatnagar,,,,
JgRCk4RNYkA,Joy,Joy,Inés Hall,,,,
HBzyuCda2RI,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,,,,
DMqU_caQmXs,Kahaani,Kahaani,Tanmaya Bhatnagar,,,,
VHb_XIql_gU,Kids,Oracular Spectacular,MGMT,,,,
lyO-Sveg6a8,Knee Socks,AM,Arctic Monkeys,,,,
8ykI7RFzN84,Kya Tum Naraaz Ho? (Raw),Kya Tum Naraaz Ho? (Raw),Tanmaya Bhatnagar,,,,
Mj2jjJNl_ac,L'Amour Toujours,L'Amour Toujours,Constanze Hochwartner,,,,
9_GsWzt1dDo,La Vie en Rose,Masters of Jazz: Louis Armstrong,Louis Armstrong,,,,
bU9kTNlGk0g,Last of a Dying Breed,Piss In The Wind,Joji,,,,
ZVgHPSyEIqk,Let Down,OK Computer OKNOTOK 1997 2017,Radiohead,,,,
duBCwvC1kP4,Let Down,OK Computer,Radiohead,,,,
QDYfEBY9NM4,Let It Be (Remastered 2009),Let It Be,The Beatles,,,,
3U58T-9ocq0,Let The Light In,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,Father John Misty,,,
dgUHE8wWhiE,Like Him,CHROMAKOPIA,"Tyler, The Creator",Lola Young,,,
uPxvvmlkNHw,Like Real People Do,Hozier,Hozier,,,,
zuaBRqUBhyw,Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,,,,
o3sBKBqwYso,Looking Out for You,Looking Out for You,Joy Again,,,,
AeedWEyMYYo,Lose Control,I've Tried Everything But Therapy (Part 1),Teddy Swims,,,,
AVN7SJkNOR0,Lose My Mind [From F1® The Movie],Lose My Mind [From F1® The Movie],Don Toliver,Doja Cat,,,
EfqsJm6BKng,Love Me Again,Tribute,John Newman,,,,
2bqm4gRY3mA,Love Of My Life,A Night At The Opera,Queen,,,,
wuHFByoJweI,Lover Girl,Lover Girl,Laufey,,,,
AGgfFGrN88s,Ma Meilleure Ennemie (from the series Arcane League of Legends),Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),Stromae,Pomme,,,
DntZ3-yCaFs,Manchild,Man’s Best Friend,Sabrina Carpenter,,,,
V5b1mq_IM2M,Mando,Mando,Will Paquin,,,,
Gl2TEwnacwM,Maple Syrup,Maple Syrup,The Backseat Lovers,,,,
IRfQI9Y6EK0,Matilda,Harry's House,Harry Styles,,,,
SsTkySHm3UE,MJRH,Jaago,Lifafa,,,,
peLRPSCeppI,Moth To A Flame,Dawn FM (Alternate World),Swedish House Mafia,The Weeknd,,,
